"Table 2. Per Capita Personal Income, by Metropolitan Area, 2020–2022",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Virginia Beach-Norfolk-Newport News, VA-NC","52,283","56,699","57,873",153,8.4,2.1,120
"Visalia, CA","45,523","48,626","47,295",328,6.8,-2.7,377
"Waco, TX","45,394","49,508","49,798",286,9.1,0.6,248
"Walla Walla, WA","49,569","54,897","55,436",186,10.7,1.0,225
"Warner Robins, GA","44,845","48,567","47,478",322,8.3,-2.2,369
"Washington-Arlington-Alexandria, DC-VA-MD-WV","75,141","81,121","83,010",15,8.0,2.3,105
"Waterloo-Cedar Falls, IA","50,161","53,960","55,247",189,7.6,2.4,98
"Watertown-Fort Drum, NY","50,260","52,354","51,749",255,4.2,-1.2,340
"Wausau-Weston, WI","53,612","57,969","58,770",140,8.1,1.4,183
"Weirton-Steubenville, WV-OH","44,101","47,495","47,725",316,7.7,0.5,257
"Wenatchee, WA","53,692","57,775","57,853",154,7.6,0.1,277
"Wheeling, WV-OH","47,389","51,988","53,193",231,9.7,2.3,106
"Wichita, KS","52,170","56,110","58,165",149,7.6,3.7,39
"Wichita Falls, TX","47,841","51,082","51,731",257,6.8,1.3,197
"Williamsport, PA","48,046","50,730","49,869",285,5.6,-1.7,355
"Wilmington, NC","52,233","57,695","58,526",142,10.5,1.4,176
"Winchester, VA-WV","53,138","57,743","59,702",127,8.7,3.4,57
"Winston-Salem, NC","48,648","53,204","54,330",213,9.4,2.1,115
"Worcester, MA-CT","59,994","63,142","63,475",87,5.2,0.5,249
"Yakima, WA","45,996","49,637","49,266",295,7.9,-0.7,323
"York-Hanover, PA","54,395","57,656","57,321",160,6.0,-0.6,318
"Youngstown-Warren-Boardman, OH-PA","45,478","48,647","48,645",305,7.0,0.0,285
"Yuba City, CA","47,794","51,401","50,252",279,7.5,-2.2,368
"Yuma, AZ","42,177","44,285","44,811",364,5.0,1.2,203
"1. Per capita personal income was computed using U.S. Census Bureau midyear population estimates for 2020 through 2022, released in March 2023.",,,,,,,
"Note. Metropolitan areas are defined (geographically delineated) by the Office of Management and Budget (OMB) Bulletin No. 20-01, issued March 6, 2020.",,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,
