"Table 2. Per Capita Personal Income, by Metropolitan Area, 2020–2022",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Columbus, GA-AL","42,838","46,791","46,748",335,9.2,-0.1,290
"Columbus, IN","55,840","59,915","61,920",101,7.3,3.3,60
"Columbus, OH","55,902","60,579","61,228",106,8.4,1.1,216
"Corpus Christi, TX","48,665","53,654","54,916",195,10.3,2.4,102
"Corvallis, OR","49,990","54,622","55,325",188,9.3,1.3,194
"Crestview-Fort Walton Beach-Destin, FL","58,916","66,310","67,820",59,12.6,2.3,109
"Cumberland, MD-WV","45,534","48,003","47,013",332,5.4,-2.1,364
"Dallas-Fort Worth-Arlington, TX","61,681","67,945","70,493",43,10.2,3.7,37
"Dalton, GA","40,232","42,735","43,089",373,6.2,0.8,234
"Danville, IL","44,276","48,950","49,105",299,10.6,0.3,267
"Daphne-Fairhope-Foley, AL","51,230","55,865","56,747",171,9.0,1.6,161
"Davenport-Moline-Rock Island, IA-IL","51,841","56,086","56,690",172,8.2,1.1,215
"Dayton-Kettering, OH","52,236","55,806","56,468",173,6.8,1.2,204
"Decatur, AL","41,573","45,366","45,215",356,9.1,-0.3,307
"Decatur, IL","51,474","56,437","56,774",170,9.6,0.6,247
"Deltona-Daytona Beach-Ormond Beach, FL","49,079","53,457","54,768",197,8.9,2.5,96
"Denver-Aurora-Lakewood, CO","71,515","79,438","84,788",13,11.1,6.7,3
"Des Moines-West Des Moines, IA","58,268","63,202","64,401",79,8.5,1.9,136
"Detroit-Warren-Dearborn, MI","56,901","60,488","61,322",105,6.3,1.4,184
"Dothan, AL","45,736","49,585","49,482",293,8.4,-0.2,298
"Dover, DE","46,052","49,316","51,188",263,7.1,3.8,36
"Dubuque, IA","52,804","58,027","60,090",124,9.9,3.6,48
"Duluth, MN-WI","49,270","53,874","54,565",205,9.3,1.3,195
"Durham-Chapel Hill, NC","58,201","62,243","63,799",83,6.9,2.5,89
"East Stroudsburg, PA","48,872","51,931","52,643",236,6.3,1.4,186
"Eau Claire, WI","51,085","55,372","56,225",177,8.4,1.5,168
"El Centro, CA","45,565","48,228","45,188",357,5.8,-6.3,384
"Elizabethtown-Fort Knox, KY","46,324","50,530","50,602",275,9.1,0.1,276
"Elkhart-Goshen, IN","49,336","56,465","58,570",141,14.5,3.7,38
"Elmira, NY","49,058","51,797","51,630",258,5.6,-0.3,305
"El Paso, TX","40,172","44,093","44,163",369,9.8,0.2,272
"Enid, OK","44,544","49,013","48,872",304,10.0,-0.3,304
"Erie, PA","50,179","52,048","51,396",262,3.7,-1.3,345
"Eugene-Springfield, OR","50,701","55,942","56,188",179,10.3,0.4,261
"Evansville, IN-KY","52,470","57,063","58,138",150,8.8,1.9,137
"Fairbanks, AK","60,410","65,243","67,790",61,8.0,3.9,32
"Fargo, ND-MN","57,832","62,896","64,468",78,8.8,2.5,90
"Farmington, NM","39,050","43,031","43,489",371,10.2,1.1,218
"Fayetteville, NC","41,312","45,071","45,051",358,9.1,0.0,287
"Fayetteville-Springdale-Rogers, AR","64,548","72,389","74,943",26,12.1,3.5,50
"Flagstaff, AZ","52,890","56,505","58,933",137,6.8,4.3,22
"Flint, MI","45,384","48,161","47,564",320,6.1,-1.2,343
"Florence, SC","45,753","49,862","50,679",272,9.0,1.6,158
"Florence-Muscle Shoals, AL","41,386","44,248","44,713",365,6.9,1.1,219
"Fond du Lac, WI","52,419","56,667","58,204",146,8.1,2.7,77
"Fort Collins, CO","59,762","65,501","67,849",58,9.6,3.6,45
"Fort Smith, AR-OK","41,972","44,979","45,543",351,7.2,1.3,200
"Fort Wayne, IN","50,077","55,638","57,079",164,11.1,2.6,86
"Fresno, CA","48,095","51,692","50,549",276,7.5,-2.2,367
"Gadsden, AL","39,607","42,571","42,951",374,7.5,0.9,229
"Gainesville, FL","46,405","50,508","50,892",268,8.8,0.8,237
"Gainesville, GA","50,009","55,175","57,416",159,10.3,4.1,29
"Gettysburg, PA","53,258","55,818","55,597",183,4.8,-0.4,309
"Glens Falls, NY","52,210","55,025","54,454",210,5.4,-1.0,334
"Goldsboro, NC","44,189","49,132","49,370",294,11.2,0.5,256
"Grand Forks, ND-MN","54,502","58,956","60,462",115,8.2,2.6,87
"Grand Island, NE","47,615","53,961","54,336",212,13.3,0.7,241
"Grand Junction, CO","48,548","53,194","54,654",201,9.6,2.7,76
"Grand Rapids-Kentwood, MI","55,061","60,593","62,131",100,10.0,2.5,88
"Grants Pass, OR","47,955","51,979","52,166",249,8.4,0.4,266
"Great Falls, MT","50,449","54,549","57,020",165,8.1,4.5,15
"Greeley, CO","51,920","56,592","58,860",139,9.0,4.0,30
"Green Bay, WI","55,818","59,629","61,179",108,6.8,2.6,85
"Greensboro-High Point, NC","47,359","51,593","52,335",245,8.9,1.4,177
"Greenville, NC","48,920","52,716","53,495",226,7.8,1.5,174
"Greenville-Anderson, SC","47,775","51,431","52,202",248,7.7,1.5,172
"Gulfport-Biloxi, MS","41,371","45,715","45,604",349,10.5,-0.2,301
"Hagerstown-Martinsburg, MD-WV","48,132","51,858","52,426",242,7.7,1.1,213
"Hammond, LA","43,882","47,748","47,512",321,8.8,-0.5,315
"Hanford-Corcoran, CA","41,185","43,818","42,525",376,6.4,-2.9,380
"Harrisburg-Carlisle, PA","57,198","60,777","60,723",112,6.3,-0.1,289
"Harrisonburg, VA","43,349","48,056","51,466",260,10.9,7.1,2
"Hartford-East Hartford-Middletown, CT","66,219","68,802","69,787",45,3.9,1.4,178
"Hattiesburg, MS","41,115","44,669","44,507",368,8.6,-0.4,308
"Hickory-Lenoir-Morganton, NC","44,419","48,547","49,697",288,9.3,2.4,99
"Hilton Head Island-Bluffton, SC","61,516","66,613","67,794",60,8.3,1.8,145
"Hinesville, GA","37,628","40,570","39,616",382,7.8,-2.4,370
"Homosassa Springs, FL","41,602","45,406","45,330",354,9.1,-0.2,295
"Hot Springs, AR","45,130","47,762","48,507",307,5.8,1.6,166
"Houma-Thibodaux, LA","45,589","49,685","50,394",278,9.0,1.4,179
"Houston-The Woodlands-Sugar Land, TX","59,674","65,477","68,344",53,9.7,4.4,19
"Huntington-Ashland, WV-KY-OH","44,094","47,584","48,311",309,7.9,1.5,169
"Huntsville, AL","54,489","58,638","59,677",129,7.6,1.8,146
"Idaho Falls, ID","55,948","57,986","59,280",132,3.6,2.2,111
"Indianapolis-Carmel-Anderson, IN","60,412","66,789","68,719",49,10.6,2.9,71
"Iowa City, IA","56,720","62,250","64,399",80,9.8,3.5,56
"Ithaca, NY","50,472","50,527","51,169",264,0.1,1.3,196
"Jackson, MI","43,423","46,886","46,409",340,8.0,-1.0,333
"Jackson, MS","48,660","53,001","53,606",224,8.9,1.1,210
"Jackson, TN","44,579","49,106","49,028",301,10.2,-0.2,294
