"GEO_ID","NAME","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_001E","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003M","S1903_C01_003E","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005M","S1903_C02_005E","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C01_007M","S1903_C01_007E","S1903_C01_008M","S1903_C01_008E","S1903_C02_008E","S1903_C02_008M","S1903_C01_009M","S1903_C01_009E","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012M","S1903_C02_012E","S1903_C01_013M","S1903_C01_013E","S1903_C02_013E","S1903_C02_013M","S1903_C01_014M","S1903_C01_014E","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015M","S1903_C02_015E","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017M","S1903_C01_017E","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018M","S1903_C02_018E","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020M","S1903_C01_020E","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022M","S1903_C02_022E","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024M","S1903_C02_024E","S1903_C01_025M","S1903_C01_025E","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026M","S1903_C02_026E","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028M","S1903_C01_028E","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030M","S1903_C02_030E","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"1600000US0682996","Vista city, California","1899","46033","3691","29982","82.8","4.1","44103","4101","N","N","61578","40510","N","N","52356","21773","N","N","N","N","N","N","-","**","52412","18239","N","N","N","N","51761","40652","5.1","35.2","37969","3402","55.9","5.0","49975","7785","7.1","2.5","2710","28502","5.1","39.2","44866","5496","5.4","39.7","51775","7223","13.9","2.8","7232","41955","20656","1320","45224","6487","N","N","41002","7279","N","N","9520","55345","N","N","51477","7414","N","N","35769","5963","N","N","37274","8767","9326","1651","5431","40928","49.7","7.9","39443","10030","39.5","8.3","10787","34955","5.3","10.3","48954","41791","50.3","7.9","11946","44548","37.6","8.5","32481","8542","5.7","12.7","61901","34180","20.8","(X)","(X)","(X)","19.1","(X)","(X)","(X)","21.0","(X)","(X)","(X)",
"1600000US0684200","West Covina city, California","1738","62413","3082","31286","41.0","4.7","61504","4040","N","N","46364","34972","N","N","-","**","23.8","3.6","9001","63604","N","N","-","**","66466","12132","4.6","26.3","N","N","N","N","4.9","46.1","65170","10605","22.8","3.7","60200","12745","4.8","2.0","13156","35614","4.8","39.0","66720","13019","4.8","35.8","78271","10602","20.4","3.6","6283","38799","25023","1305","67224","10082","N","N","71642","11816","N","N","8614","63815","N","N","82355","9771","N","N","37397","13723","N","N","48958","23664","6263","1207","13799","40130","63.9","9.6","35724","13318","51.9","9.8","15122","32477","7.1","12.0","42705","41243","36.1","9.6","30744","50543","27.3","9.0","27376","16940","6.1","8.8","62054","32642","26.9","(X)","(X)","(X)","27.2","(X)","(X)","(X)","26.1","(X)","(X)","(X)",
"1600000US0684550","Westminster city, California","1402","49889","7905","26838","48.2","4.7","52279","10966","N","N","58774","53454","N","N","-","**","39.7","4.3","18462","47072","N","N","-","**","45179","18070","N","N","N","N","N","N","4.1","19.0","45063","9173","39.7","4.1","55394","17382","2.5","1.8","53249","9506","4.9","32.2","62984","8070","4.9","39.8","57912","8111","25.5","4.0","5496","32069","20591","1043","54719","11048","N","N","55539","16504","N","N","12039","51885","N","N","62265","11211","N","N","40773","8945","N","N","45302","15397","6247","1249","11477","30383","44.3","9.5","26706","14123","36.6","8.5","8919","21209","4.3","7.8","61831","48829","55.7","9.5","23725","31419","37.8","10.7","24989","9939","8.1","17.9","64464","21782","40.3","(X)","(X)","(X)","38.9","(X)","(X)","(X)","30.4","(X)","(X)","(X)",
"1600000US0685292","Whittier city, California","1935","60540","8046","27969","61.9","4.4","65185","8465","N","N","62278","55896","N","N","N","N","N","N","N","N","N","N","-","**","48427","11434","4.4","31.8","N","N","70804","14207","5.1","58.3","54044","10573","36.6","4.8","66504","10502","2.0","1.4","28598","23843","3.9","36.0","66232","9300","5.0","42.6","66228","12253","19.4","3.1","3522","39740","19738","1152","67915","8870","N","N","59589","14881","N","N","9765","72284","N","N","89083","14186","N","N","36090","9308","N","N","36557","9107","8231","1686","4492","37218","50.9","10.1","34617","6034","41.9","10.7","8517","34137","5.1","9.0","38495","38591","49.1","10.1","5481","41126","39.1","10.6","38931","5921","5.3","10.0","67201","7793","28.5","(X)","(X)","(X)","30.4","(X)","(X)","(X)","19.4","(X)","(X)","(X)",
"1600000US0686832","Yorba Linda city, California","1090","100788","7680","21292","79.1","4.3","100389","11379","N","N","N","N","N","N","-","**","16.5","3.8","34395","101223","N","N","-","**","N","N","N","N","N","N","67145","66171","N","N","75820","41759","70.9","4.5","101537","10268","0.6","0.9","**","-","4.8","27.5","103750","25918","5.3","50.8","125104","17233","21.1","3.9","13057","60830","17178","763","117489","12662","N","N","121793","11965","N","N","16931","107398","N","N","125083","13006","N","N","61818","23343","N","N","98333","20987","4114","962","17299","46835","58.7","12.0","36898","10646","51.5","10.1","14031","32474","5.9","7.2","119767","95867","41.3","12.0","22391","60284","28.4","11.5","54551","28216","8.9","12.9","65760","37250","27.5","(X)","(X)","(X)","27.7","(X)","(X)","(X)","22.2","(X)","(X)","(X)",
"1600000US0803455","Arvada city, Colorado","1355","61046","4973","42551","95.0","1.8","62202","4990","N","N","22616","21714","N","N","-","**","N","N","N","N","N","N","-","**","N","N","N","N","N","N","N","N","2.4","10.0","46380","7177","87.2","2.7","64058","5004","2.0","1.5","35201","24519","3.5","33.9","71720","4925","3.3","43.2","69431","9704","20.9","2.5","4201","34626","28584","1257","74500","5985","N","N","76868","5301","N","N","8066","70235","N","N","83313","6528","N","N","40677","7457","N","N","43293","6273","13967","1544","5586","35533","55.3","6.1","31087","13629","48.6","5.9","10390","25541","3.5","6.7","45607","17702","44.7","6.1","10381","41167","36.3","6.5","37271","10339","4.3","8.5","75489","13819","28.6","(X)","(X)","(X)","29.1","(X)","(X)","(X)","26.6","(X)","(X)","(X)",
"1600000US0804000","Aurora city, Colorado","3177","50358","2250","119559","70.0","2.0","55614","2645","1.3","15.5","43404","5477","N","N","35536","21570","4.1","0.9","12466","50595","N","N","N","N","30593","7957","1.2","5.3","N","N","40375","4549","1.5","20.3","39131","5319","57.0","2.0","58200","3585","5.7","0.9","4701","21308","2.3","41.3","51194","4404","1.8","38.2","61029","4093","14.9","1.1","5440","40350","77153","2772","58652","3525","2.7","52.4","51449","4734","47.6","2.7","3277","68178","68.0","3.1","71485","4360","2.6","22.7","28398","6424","9.3","1.9","43005","14982","42406","2947","3205","36362","52.6","3.4","33185","4092","44.5","3.4","3549","29841","1.9","8.1","56947","9478","47.4","3.4","5401","39598","35.0","3.5","35349","5256","2.6","12.4","60431","9901","19.0","(X)","(X)","(X)","20.0","(X)","(X)","(X)","15.3","(X)","(X)","(X)",
"1600000US0807850","Boulder city, Colorado","2477","52618","5323","39893","88.7","2.4","55251","5751","N","N","38451","6740","N","N","N","N","5.2","1.4","34832","40502","N","N","-","**","33698","26113","N","N","N","N","53129","40926","N","N","32522","6610","83.8","2.8","58059","5371","21.4","2.9","4190","14995","3.3","38.0","69203","3774","2.7","28.2","79862","12862","12.4","2.8","11040","54245","18169","1543","92540","11710","N","N","97479","20662","N","N","12348","85552","N","N","111729","13029","N","N","30228","9382","N","N","36957","45702","21724","2274","6447","30235","53.0","4.9","28606","6806","32.1","5.2","3374","24781","4.4","20.9","35931","10304","47.0","4.9","10302","30867","26.0","4.6","23916","10182","4.3","21.0","36492","11432","20.1","(X)","(X)","(X)","20.1","(X)","(X)","(X)","20.1","(X)","(X)","(X)",
"1600000US0812815","Centennial city, Colorado","1544","79690","6012","38946","92.0","2.0","81102","6120","N","N","84399","24410","N","N","-","**","N","N","15964","62969","N","N","-","**","64012","34784","N","N","N","N","62039","21407","N","N","65734","8836","86.6","2.6","81718","5861","1.9","1.2","9134","71435","3.5","30.0","70814","6692","3.3","47.8","107400","6722","20.3","2.6","5729","46477","28703","1169","92852","6630","N","N","97114","8843","N","N","6179","90361","N","N","100509","8085","N","N","58840","4134","N","N","65795","61197","10243","1387","4883","47758","60.5","6.0","44838","8691","52.3","6.5","9952","38617","5.0","8.2","82750","16783","39.5","6.0","10873","49477","32.0","6.0","47466","6168","4.2","7.5","71175","9635","22.1","(X)","(X)","(X)","24.7","(X)","(X)","(X)","15.1","(X)","(X)","(X)",
"1600000US0816000","Colorado Springs city, Colorado","3084","49929","1580","167361","83.4","1.1","51963","1117","0.7","6.8","35890","5555","N","N","35516","13188","2.1","0.5","18795","30522","N","N","N","N","35693","5649","0.6","3.3","0.7","3.2","34049","10774","0.9","12.3","35847","1342","75.9","1.1","54010","2455","6.4","0.8","6206","22808","1.5","37.4","48965","3106","1.5","39.2","61664","3872","17.0","1.0","3929","41949","105790","3200","61897","2623","2.4","47.6","56606","4920","52.4","2.4","3795","67179","75.0","2.4","75146","2698","2.1","19.0","25891","3626","6.0","1.3","42745","3313","61571","3708","2362","31455","54.0","2.7","28619","3042","46.9","2.9","2265","25399","1.7","7.1","52077","5099","46.0","2.7","3273","35762","37.1","2.8","33205","5155","2.1","8.9","45816","12199","24.5","(X)","(X)","(X)","23.8","(X)","(X)","(X)","23.7","(X)","(X)","(X)",
